activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,B4TYDEB6GKMZO031MB27,47664,MI,26125,26125183400,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,2,2,2,1,2,105000.0,84.98,7.490,2.020,2,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,475000,1,1,3,5,1,NA,219,46,8,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,65-74,9999,Yes,NA,1,1,6,,,,,10,,,,2498,13.97,109700,147,809,1067,62
2024,B4TYDEB6GKMZO031MB27,47664,MI,26099,26099225100,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,4,2,2,1,2,65000.0,49.89,7.990,2.070,2,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,455000,1,1,3,5,1,NA,184,30%-<36%,8,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,6,,,,,10,,,,3496,13.84,109700,79,1161,1264,47
2024,B4TYDEB6GKMZO031MB27,47664,MI,26125,26125194400,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,115000.0,73.09,10.615,2.395,2,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,485000,1,1,3,5,1,NA,210,30%-<36%,9,8,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,45-54,45-54,No,No,1,1,6,,,,,10,,,,3859,21.56,109700,135,1068,1297,26
2024,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163544000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,3,0,2,1,4,1,2,1,2,45000.0,44.44,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,95000,1,1,3,5,1,NA,40,>60%,8,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,1,,,,2534,94.79,77800,74,507,988,65
2024,B4TYDEB6GKMZO031MB27,47664,MI,26125,26125160600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,31,1,2,1,2,125000.0,58.37,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,215000,1,1,3,5,1,NA,44,>60%,8,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,65-74,9999,Yes,NA,1,1,6,,,,,3,,,,4805,67.76,109700,105,1227,1480,54
2024,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163571500,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,4,2,2,1,2,105000.0,111.98,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,345000,1,1,3,5,1,NA,52,>60%,8,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,6,,,,,1,4,,,5226,17.05,77800,88,992,1636,61
2024,B4TYDEB6GKMZO031MB27,24340,MI,26081,26081003400,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,2,0,2,1,4,2,2,1,2,155000.0,80,7.490,2.520,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,395000,1,1,3,5,1,NA,92,48,8,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,1,1,6,,,,,10,,,,5126,29.57,97600,117,1752,1703,64
2024,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163569300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,5,0,2,1,4,1,2,1,2,75000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,NA,1,2,3,5,1,NA,70,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,Yes,NA,1,1,6,,,,,10,,,,3688,18.25,77800,108,1202,1453,63
2024,B4TYDEB6GKMZO031MB27,47664,MI,26099,26099214500,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,5,0,2,1,4,2,2,1,2,105000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,NA,1,1,3,5,1,NA,165,NA,9,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,45-54,55-64,No,No,1,1,6,,,,,10,,,,4410,5.85,109700,115,1524,1616,33
2024,B4TYDEB6GKMZO031MB27,47664,MI,26125,26125140500,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,3,0,2,1,2,2,2,1,2,105000.0,91.16,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,305000,1,1,3,5,1,NA,40,>60%,8,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,NA,1,1,6,,,,,3,,,,2497,37.89,109700,89,636,837,21
