race,sex,ethnicity,loan_type,loan_purpose,loan_amount,income,debt_to_income,applicant_age,tract_minority_pct,tract_income_pct,loan_approved
White,Male,Not Hispanic or Latino,1,31,55000.0,45.0,41,65-74,27.53,80,1
White,Male,Not Hispanic or Latino,1,2,25000.0,114.0,<20%,25-34,44.52,184,0
White,Joint,Not Hispanic or Latino,1,2,405000.0,91.0,>60%,65-74,7.21,128,0
White,Male,Not Hispanic or Latino,1,2,165000.0,90.0,>60%,45-54,8.92,140,0
White,Joint,Not Hispanic or Latino,1,2,55000.0,70.0,>60%,35-44,6.63,91,0
Asian,Male,Not Hispanic or Latino,1,4,45000.0,140.0,50%-60%,25-34,12.26,142,0
White,Joint,Not Hispanic or Latino,1,2,55000.0,46.0,42,>74,29.83,138,1
Black or African American,Male,Not Hispanic or Latino,1,1,215000.0,53.0,42,35-44,16.23,95,0
White,Male,Not Hispanic or Latino,1,2,35000.0,84.0,30%-<36%,35-44,27.72,72,1
White,Joint,Not Hispanic or Latino,1,2,55000.0,81.0,>60%,>74,12.47,77,0
White,Male,Not Hispanic or Latino,1,2,185000.0,92.0,44,25-34,13.59,196,0
Black or African American,Female,Not Hispanic or Latino,2,1,115000.0,45.0,41,65-74,98.0,37,1
White,Female,Not Hispanic or Latino,1,4,105000.0,130.0,46,55-64,11.45,162,0
White,Male,Not Hispanic or Latino,1,1,525000.0,132.0,30%-<36%,35-44,9.26,136,1
Black or African American,Female,Not Hispanic or Latino,1,1,105000.0,31.0,40,55-64,65.89,43,1
White,Joint,Not Hispanic or Latino,1,4,25000.0,117.0,30%-<36%,55-64,14.29,160,1
White,Male,Not Hispanic or Latino,1,1,285000.0,80.0,41,25-34,11.18,111,1
White,Joint,Not Hispanic or Latino,1,31,105000.0,59.0,41,>74,11.9,83,1
White,Male,Not Hispanic or Latino,1,1,305000.0,350.0,20%-<30%,25-34,16.53,148,1
White,Male,Hispanic or Latino,1,2,155000.0,100.0,>60%,45-54,11.52,270,0
White,Male,Not Hispanic or Latino,1,4,65000.0,197.0,30%-<36%,25-34,9.61,219,0
White,Joint,Not Hispanic or Latino,1,4,25000.0,251.0,20%-<30%,35-44,18.04,154,0
White,Male,Hispanic or Latino,1,2,25000.0,150.0,50%-60%,45-54,11.52,270,0
White,Female,Not Hispanic or Latino,1,4,55000.0,46.0,>60%,45-54,46.1,305,0
Black or African American,Female,Not Hispanic or Latino,1,2,25000.0,80.0,20%-<30%,25-34,92.97,92,0
White,Joint,Not Hispanic or Latino,1,31,105000.0,86.0,37,65-74,15.67,113,1
White,Joint,Not Hispanic or Latino,1,31,55000.0,66.0,20%-<30%,65-74,12.27,128,1
White,Joint,Ethnicity Not Available,1,4,25000.0,88.0,48,35-44,33.04,85,0
White,Joint,Not Hispanic or Latino,1,4,25000.0,117.0,20%-<30%,55-64,16.52,186,0
White,Female,Not Hispanic or Latino,1,4,35000.0,14.0,45,45-54,54.42,67,1
White,Female,Hispanic or Latino,1,1,455000.0,294.0,38,55-64,13.99,146,0
White,Male,Not Hispanic or Latino,1,2,25000.0,44.0,44,65-74,10.58,83,0
White,Male,Not Hispanic or Latino,1,2,35000.0,91.0,<20%,45-54,23.24,137,0
Black or African American,Female,Not Hispanic or Latino,1,4,15000.0,63.0,47,65-74,97.14,60,1
White,Female,Ethnicity Not Available,1,2,105000.0,214.0,<20%,55-64,10.65,118,0
White,Male,Ethnicity Not Available,1,31,155000.0,70.0,>60%,45-54,7.64,68,0
White,Joint,Not Hispanic or Latino,1,31,145000.0,60.0,49,>74,24.47,187,1
White,Female,Free Form Text Only,1,1,85000.0,39.0,49,35-44,27.72,72,0
White,Female,Not Hispanic or Latino,1,2,65000.0,43.0,>60%,45-54,56.16,112,0
White,Male,Hispanic or Latino,1,31,255000.0,100.0,>60%,55-64,12.33,105,0
White,Male,Not Hispanic or Latino,1,1,215000.0,65.0,36,25-34,36.94,78,1
Asian,Joint,Not Hispanic or Latino,1,2,95000.0,82.0,45,45-54,21.08,96,1
White,Female,Not Hispanic or Latino,1,2,55000.0,46.0,41,>74,19.3,133,1
Black or African American,Joint,Not Hispanic or Latino,1,2,105000.0,320.0,20%-<30%,45-54,11.49,122,0
Black or African American,Joint,Not Hispanic or Latino,1,1,405000.0,179.0,49,45-54,46.1,305,1
White,Male,Not Hispanic or Latino,1,31,285000.0,103.0,41,45-54,6.97,105,1
White,Male,Not Hispanic or Latino,1,2,105000.0,254.0,50%-60%,25-34,5.21,103,0
White,Female,Not Hispanic or Latino,1,1,205000.0,94.0,>60%,35-44,33.37,130,0
White,Female,Not Hispanic or Latino,1,2,55000.0,44.0,>60%,45-54,46.91,176,0
White,Female,Not Hispanic or Latino,1,1,185000.0,59.0,39,35-44,32.25,72,1
Black or African American,Female,Not Hispanic or Latino,1,4,75000.0,145.0,42,35-44,82.05,233,1
